problem	id	path	target	language_prefix	source_ok	best_source_status	best_source_label	best_source_final_url	target_ok	best_target_status	best_target_label	best_target_final_url	best_target_canonical	best_target_hreflang_count
missing_product	gid://shopify/UrlRedirect/1768245920082	/et/collections/wall-decals-canada/products/custom-car-hood-vinyl-sticker-wrap-for-55626	/et/products/kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	et	False	429	primary	https://www.decords.com/et/collections/wall-decals-canada/products/custom-car-hood-vinyl-sticker-wrap-for-55626	False	429	primary	https://www.decords.com/et/products/kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal		0
missing_product	gid://shopify/UrlRedirect/1768246018386	/et/collections/wall-decals-canada/products/nespresso-coffee-capsule-holder-3d-23552	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	et	False	429	primary	https://www.decords.com/et/collections/wall-decals-canada/products/nespresso-coffee-capsule-holder-3d-23552	False	429	primary	https://www.decords.com/et/products/3d-printed-coffee-capsule-holder-pod-organizer		0
missing_product	gid://shopify/UrlRedirect/1768248246610	/et/collections/wall-decals-canada/products/thinking-panda-sticker-inspired-by-30786	/et/products/motlev-panda-kleebis-inspireeritud-banksy-kunstist-vinuul-dj-baksy-seinakleebis-korvaklapid-pandakaru-muusika-motleja-tanavagrafiti-nutikas-seinamaaling	et	False	429	primary	https://www.decords.com/et/collections/wall-decals-canada/products/thinking-panda-sticker-inspired-by-30786	False	429	primary	https://www.decords.com/et/products/motlev-panda-kleebis-inspireeritud-banksy-kunstist-vinuul-dj-baksy-seinakleebis-korvaklapid-pandakaru-muusika-motleja-tanavagrafiti-nutikas-seinamaaling		0
missing_product	gid://shopify/UrlRedirect/1768249524562	/et/collections/wall-decals-canada/products/wall-frame-sticker-picture-frames-72348	/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	et	False	429	primary	https://www.decords.com/et/collections/wall-decals-canada/products/wall-frame-sticker-picture-frames-72348	False	429	primary	https://www.decords.com/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst		0
missing_product	gid://shopify/UrlRedirect/1768248279378	/et/products/50x-leopard-animal-skin-sticker-pack-of-75820	/et/products/50x-leopardloomanahast-kleebiste-pakk-gepardi-nahast-prindikleebised-vinuulumbriskleebised-armsad-kohakunstid-tudrukutele-ulekandekleebised	et	False	429	primary	https://www.decords.com/et/products/50x-leopard-animal-skin-sticker-pack-of-75820	False	429	primary	https://www.decords.com/et/products/50x-leopardloomanahast-kleebiste-pakk-gepardi-nahast-prindikleebised-vinuulumbriskleebised-armsad-kohakunstid-tudrukutele-ulekandekleebised		0
missing_product	gid://shopify/UrlRedirect/1768246116690	/et/products/custom-car-hood-vinyl-sticker-wrap-for-55626	/et/products/kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	et	False	429	primary	https://www.decords.com/et/products/custom-car-hood-vinyl-sticker-wrap-for-55626	False	429	primary	https://www.decords.com/et/products/kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal		0
missing_product	gid://shopify/UrlRedirect/1768246280530	/et/products/lion-head-wall-vinyl-sticker-roar-32474	/et/products/lovipea-seina-vinuulkleebis-moirgama-loom-kuningas-nagu-aken-kunst-dekoor-siluett-kleebis-vau-tatoveering-pulk-sulearvutil-unikaalne-ruumi-print	et	False	429	primary	https://www.decords.com/et/products/lion-head-wall-vinyl-sticker-roar-32474	False	429	primary	https://www.decords.com/et/products/lovipea-seina-vinuulkleebis-moirgama-loom-kuningas-nagu-aken-kunst-dekoor-siluett-kleebis-vau-tatoveering-pulk-sulearvutil-unikaalne-ruumi-print		0
missing_product	gid://shopify/UrlRedirect/1768246346066	/et/products/nespresso-coffee-capsule-holder-3d-23552	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	et	False	429	primary	https://www.decords.com/et/products/nespresso-coffee-capsule-holder-3d-23552	False	429	primary	https://www.decords.com/et/products/3d-printed-coffee-capsule-holder-pod-organizer		0
missing_product	gid://shopify/UrlRedirect/1768246378834	/et/products/nespresso-coffee-capsule-holder-3d-23552?variant=50145384726866	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	et	False	429	primary	https://www.decords.com/et/products/nespresso-coffee-capsule-holder-3d-23552?variant=50145384726866	False	429	primary	https://www.decords.com/et/products/3d-printed-coffee-capsule-holder-pod-organizer		0
missing_product	gid://shopify/UrlRedirect/1768246411602	/et/products/nespresso-coffee-capsule-holder-3d-23552?variant=50145384956242	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	et	False	429	primary	https://www.decords.com/et/products/nespresso-coffee-capsule-holder-3d-23552?variant=50145384956242	False	429	primary	https://www.decords.com/et/products/3d-printed-coffee-capsule-holder-pod-organizer		0
missing_product	gid://shopify/UrlRedirect/1768246444370	/et/products/nespresso-coffee-capsule-holder-3d-23552?variant=50145384989010	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	et	False	429	primary	https://www.decords.com/et/products/nespresso-coffee-capsule-holder-3d-23552?variant=50145384989010	False	429	primary	https://www.decords.com/et/products/3d-printed-coffee-capsule-holder-pod-organizer		0
missing_product	gid://shopify/UrlRedirect/1768246477138	/et/products/nespresso-coffee-capsule-holder-3d-23552?variant=50145385021778	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	et	False	429	primary	https://www.decords.com/et/products/nespresso-coffee-capsule-holder-3d-23552?variant=50145385021778	False	429	primary	https://www.decords.com/et/products/3d-printed-coffee-capsule-holder-pod-organizer		0
missing_product	gid://shopify/UrlRedirect/1768248377682	/et/products/thinking-panda-sticker-inspired-by-30786	/et/products/motlev-panda-kleebis-inspireeritud-banksy-kunstist-vinuul-dj-baksy-seinakleebis-korvaklapid-pandakaru-muusika-motleja-tanavagrafiti-nutikas-seinamaaling	et	False	429	primary	https://www.decords.com/et/products/thinking-panda-sticker-inspired-by-30786	False	429	primary	https://www.decords.com/et/products/motlev-panda-kleebis-inspireeritud-banksy-kunstist-vinuul-dj-baksy-seinakleebis-korvaklapid-pandakaru-muusika-motleja-tanavagrafiti-nutikas-seinamaaling		0
missing_product	gid://shopify/UrlRedirect/1768249557330	/et/products/wall-frame-sticker-picture-frames-72348	/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	et	False	429	primary	https://www.decords.com/et/products/wall-frame-sticker-picture-frames-72348	False	429	primary	https://www.decords.com/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst		0
missing_product	gid://shopify/UrlRedirect/1744517824850	/products/nespresso-coffee-capsule-holder-3d-23552	/products/3d-printed-coffee-capsule-holder-pod-organizer		False	429	primary	https://www.decords.com/products/nespresso-coffee-capsule-holder-3d-23552	False	429	primary	https://www.decords.com/products/3d-printed-coffee-capsule-holder-pod-organizer		0
missing_product	gid://shopify/UrlRedirect/1498710638930	/ru/collections/custom-personalized/products/custom-mirror-decal-personalized-text-quote-glass-sticker-vinyl-customized-letter-window-decals-create-customize-saying-stickers_1420597930_	/products/custom-mirror-decal-personalized-text-quote-glass-sticker-vinyl-customized-letter-window-decals-create-customize-saying-stickers_1420597930_	ru	False	429	primary	https://www.decords.com/ru/collections/custom-personalized/products/custom-mirror-decal-personalized-text-quote-glass-sticker-vinyl-customized-letter-window-decals-create-customize-saying-stickers_1420597930_	False	429	primary	https://www.decords.com/products/custom-mirror-decal-personalized-text-quote-glass-sticker-vinyl-customized-letter-window-decals-create-customize-saying-stickers_1420597930_		0
non_active_product	gid://shopify/UrlRedirect/1748693811538	/products/frosted-fanlight-door-number-decal-67794	/products/frosted-fanlight-door-number-decal-etched-glass-house-number-sticker		False	429	primary	https://www.decords.com/products/frosted-fanlight-door-number-decal-67794	False	429	primary	https://www.decords.com/products/frosted-fanlight-door-number-decal-etched-glass-house-number-sticker		0
unknown_internal_route	gid://shopify/UrlRedirect/1746243846482	/sitemap_index.xml	/sitemap.xml		False	429	primary	https://www.decords.com/sitemap_index.xml	False	429	primary	https://www.decords.com/sitemap.xml		0
